epoch,bbox_output_mse,class_output_accuracy,loss,val_bbox_output_mse,val_class_output_accuracy,val_loss
63,4299.63623046875,0.7247132658958435,4300.595703125,4530.578125,0.8479166626930237,4531.04833984375
64,4302.12548828125,0.7153284549713135,4303.052734375,4531.2158203125,0.8395833373069763,4531.7060546875
65,4271.30615234375,0.7275807857513428,4272.2265625,4533.79736328125,0.8395833373069763,4534.26220703125
66,4242.71533203125,0.7254952788352966,4243.59716796875,4513.080078125,0.8291666507720947,4513.580078125
67,4205.68603515625,0.7249739170074463,4206.5791015625,4488.953125,0.8458333611488342,4489.4150390625
68,4204.91357421875,0.732533872127533,4205.7685546875,4497.40185546875,0.8291666507720947,4497.880859375
69,4173.345703125,0.7408758997917175,4174.16845703125,4489.033203125,0.8520833253860474,4489.49365234375
70,4124.39697265625,0.7546923756599426,4125.18798828125,4458.142578125,0.8270833492279053,4458.59033203125
71,4172.67041015625,0.7442648410797119,4173.45166015625,4487.3798828125,0.8479166626930237,4487.81884765625
72,4174.9462890625,0.741918683052063,4175.716796875,4448.7705078125,0.8500000238418579,4449.22998046875
73,4082.90380859375,0.7458289861679077,4083.6845703125,4436.40771484375,0.84375,4436.8466796875
74,4085.656982421875,0.7492179274559021,4086.410400390625,4418.14208984375,0.8291666507720947,4418.6064453125
75,4067.069580078125,0.7460896968841553,4067.834228515625,4418.09716796875,0.8520833253860474,4418.52783203125
76,4038.6953125,0.7619916796684265,4039.444091796875,4399.75537109375,0.8458333611488342,4400.2060546875
77,4056.081787109375,0.758081316947937,4056.79736328125,4406.6416015625,0.8479166626930237,4407.0859375
78,4024.712646484375,0.7486965656280518,4025.462158203125,4416.7666015625,0.831250011920929,4417.20849609375
79,4017.77294921875,0.7653806209564209,4018.4736328125,4402.9775390625,0.8333333134651184,4403.43896484375
80,3933.704833984375,0.7572992444038391,3934.415283203125,4405.39990234375,0.8479166626930237,4405.85888671875
81,3947.59912109375,0.7520855069160461,3948.3115234375,4418.52880859375,0.8395833373069763,4418.9775390625
82,3895.2822265625,0.7651199102401733,3895.97021484375,4382.65478515625,0.84375,4383.10791015625
83,3974.171875,0.7570385932922363,3974.856201171875,4396.78564453125,0.8166666626930237,4397.23779296875
84,3950.473876953125,0.7677267789840698,3951.13427734375,4364.4697265625,0.8479166626930237,4364.8984375
85,3868.3115234375,0.7661626935005188,3868.970703125,4360.767578125,0.8479166626930237,4361.18701171875
86,3936.36767578125,0.7703337073326111,3937.031005859375,4421.02490234375,0.8520833253860474,4421.4345703125
87,3876.947021484375,0.760948896408081,3877.6318359375,4366.5673828125,0.8500000238418579,4366.982421875
88,3866.724365234375,0.7773722410202026,3867.34619140625,4329.53759765625,0.8395833373069763,4329.98583984375
89,3882.396240234375,0.7677267789840698,3883.06298828125,4338.0390625,0.8458333611488342,4338.44873046875
90,3843.150390625,0.7752867341041565,3843.783203125,4328.998046875,0.8458333611488342,4329.416015625
91,3811.90380859375,0.7786756753921509,3812.533203125,4362.3349609375,0.8479166626930237,4362.75048828125
92,3824.86083984375,0.7739832997322083,3825.479736328125,4309.1689453125,0.8270833492279053,4309.6337890625
93,3811.115966796875,0.7836287617683411,3811.728515625,4304.30126953125,0.856249988079071,4304.71533203125
94,3822.086181640625,0.7682482004165649,3822.720458984375,4344.66455078125,0.8458333611488342,4345.0751953125
95,3751.365234375,0.7784150242805481,3751.99072265625,4297.54833984375,0.8541666865348816,4297.9619140625
96,3757.295654296875,0.7771115899085999,3757.91845703125,4290.04052734375,0.856249988079071,4290.4404296875
97,3752.1044921875,0.7838894724845886,3752.708984375,4301.31494140625,0.8479166626930237,4301.744140625
98,3736.98779296875,0.7718977928161621,3737.60595703125,4303.97998046875,0.856249988079071,4304.3974609375
99,3718.66845703125,0.7789363861083984,3719.277099609375,4286.853515625,0.8604166507720947,4287.2568359375
100,3699.71484375,0.779197096824646,3700.33056640625,4290.169921875,0.8541666865348816,4290.578125
101,3704.314208984375,0.7846715450286865,3704.912353515625,4278.5771484375,0.8583333492279053,4278.99072265625
102,3739.220947265625,0.7833681106567383,3739.81103515625,4300.7333984375,0.8583333492279053,4301.12841796875
103,3644.529052734375,0.7851929068565369,3645.13720703125,4271.802734375,0.862500011920929,4272.1943359375
104,3643.330078125,0.7896246314048767,3643.905517578125,4303.39501953125,0.862500011920929,4303.78173828125
105,3643.26611328125,0.7919707894325256,3643.840087890625,4280.19873046875,0.856249988079071,4280.6005859375
106,3631.79443359375,0.7904066443443298,3632.362060546875,4257.4033203125,0.856249988079071,4257.8154296875
107,3611.5107421875,0.7810218930244446,3612.1005859375,4259.28369140625,0.8500000238418579,4259.69970703125
108,3601.65380859375,0.7815432548522949,3602.25830078125,4292.66845703125,0.8500000238418579,4293.07470703125
109,3610.6806640625,0.780761182308197,3611.282470703125,4247.1142578125,0.8583333492279053,4247.50830078125
110,3595.8154296875,0.7964025139808655,3596.3837890625,4280.73046875,0.862500011920929,4281.1181640625
111,3562.12353515625,0.7805005311965942,3562.716064453125,4258.955078125,0.856249988079071,4259.369140625
112,3548.93798828125,0.7987486720085144,3549.513916015625,4267.033203125,0.862500011920929,4267.4326171875
113,3550.715087890625,0.7914494276046753,3551.277099609375,4312.12255859375,0.8479166626930237,4312.52783203125
114,3568.516357421875,0.7935349345207214,3569.080078125,4286.81591796875,0.8374999761581421,4287.25146484375
115,3553.36279296875,0.7948383688926697,3553.922607421875,4242.3994140625,0.862500011920929,4242.79150390625
116,3531.30615234375,0.7971845865249634,3531.8505859375,4244.20263671875,0.8229166865348816,4244.65673828125
117,3521.857666015625,0.7906673550605774,3522.41845703125,4239.8349609375,0.8479166626930237,4240.23974609375
118,3499.132080078125,0.7932742238044739,3499.690185546875,4231.63232421875,0.862500011920929,4232.0185546875
119,3469.122314453125,0.7917101383209229,3469.677978515625,4294.0908203125,0.8583333492279053,4294.4892578125
120,3511.318603515625,0.8008341789245605,3511.8701171875,4246.62353515625,0.8666666746139526,4247.01171875
121,3481.208740234375,0.8026590347290039,3481.74853515625,4255.74609375,0.84375,4256.173828125
122,3421.98681640625,0.8000521659851074,3422.53125,4252.375,0.8541666865348816,4252.7890625
123,3449.71923828125,0.7922315001487732,3450.284912109375,4233.9091796875,0.862500011920929,4234.30712890625
124,3450.64501953125,0.7906673550605774,3451.213134765625,4233.7275390625,0.8604166507720947,4234.12158203125
125,3449.997802734375,0.7971845865249634,3450.56591796875,4247.27880859375,0.862500011920929,4247.66650390625
126,3434.832275390625,0.7943170070648193,3435.3916015625,4263.83544921875,0.8458333611488342,4264.24267578125
127,3405.57763671875,0.8005735278129578,3406.116943359375,4237.87548828125,0.856249988079071,4238.29443359375
128,3420.775146484375,0.8010948896408081,3421.328125,4269.76220703125,0.8687499761581421,4270.181640625
129,3420.2509765625,0.79535973072052,3420.81103515625,4228.658203125,0.862500011920929,4229.05029296875
130,3385.68994140625,0.7945776581764221,3386.253173828125,4237.494140625,0.8500000238418579,4237.89208984375
131,3369.934326171875,0.8037017583847046,3370.484130859375,4253.1220703125,0.8354166746139526,4253.55126953125
132,3329.177001953125,0.7948383688926697,3329.716552734375,4240.6435546875,0.8812500238418579,4241.03759765625
133,3339.44677734375,0.8000521659851074,3339.986083984375,4271.55322265625,0.8500000238418579,4271.95263671875
134,3356.375732421875,0.7995307445526123,3356.9150390625,4235.75830078125,0.8791666626930237,4236.1630859375
135,3338.92431640625,0.7945776581764221,3339.480712890625,4236.03271484375,0.862500011920929,4236.41650390625
136,3327.41162109375,0.8029196858406067,3327.94287109375,4233.19580078125,0.8708333373069763,4233.59130859375
137,3313.099365234375,0.7956204414367676,3313.649169921875,4228.04443359375,0.8708333373069763,4228.4345703125
138,3332.009033203125,0.8005735278129578,3332.552978515625,4224.185546875,0.8791666626930237,4224.6025390625
139,3281.73779296875,0.799009382724762,3282.272705078125,4226.9677734375,0.8604166507720947,4227.37841796875
140,3292.852783203125,0.8110010623931885,3293.37255859375,4224.99462890625,0.8500000238418579,4225.4052734375
141,3275.247802734375,0.8057872653007507,3275.781005859375,4233.25341796875,0.875,4233.6396484375
142,3275.15478515625,0.8073514103889465,3275.68408203125,4235.623046875,0.8812500238418579,4236.009765625
143,3243.371337890625,0.7995307445526123,3243.896728515625,4268.60986328125,0.856249988079071,4269.01123046875
144,3256.578369140625,0.7997914552688599,3257.112548828125,4234.14892578125,0.8812500238418579,4234.533203125
145,3266.54296875,0.8065693378448486,3267.06494140625,4233.365234375,0.8770833611488342,4233.74755859375
146,3270.541015625,0.8060479760169983,3271.059814453125,4235.4091796875,0.862500011920929,4235.798828125
147,3247.088134765625,0.7956204414367676,3247.626708984375,4236.82763671875,0.8666666746139526,4237.21142578125
148,3242.056884765625,0.8110010623931885,3242.570556640625,4237.97607421875,0.862500011920929,4238.3701171875
149,3223.1298828125,0.8031803965568542,3223.649169921875,4240.99755859375,0.8812500238418579,4241.39208984375
